Foster Buffalo Point of Sale|Account Dark Risk|Risk|Engagement Risk|High|2026-11-02|Brian Turner
Wagner Data|Account Dark Risk|Risk|Engagement Risk|High|2026-11-02|Brian Turner
Hughes Software|Account Dark Risk|Risk|Engagement Risk|High|2026-11-18|Hannah Lee
Abbett|Abbett - Churn Risk: Pricing, Competitive Threat & Reliability|Risk|Churn Risk|Critical|2026-10-29|Sally McField
Abbett|Support Escalation|Risk|Support Escalation|Critical|2026-11-03|Sally McField
Abbett|AI Flagged Risk: New Stakeholder - Michael Chen (Detractor)|Risk|AI Risk Signal|Medium|2026-10-28|Sally McField
Abbett|No Course Activity >60 Days|Risk|Engagement Risk|Medium|2026-11-06|Sally McField
Abbett|20% Drop in Community Activity|Risk|Other|Medium|2026-10-02|Ainsley Steen
Bremott|Usage Drop >30%|Risk|Usage Decline|High|2026-11-30|Sally McField
Bremott|Support Escalation|Risk|Support Escalation|Critical|2026-11-03|Sally McField
Bremott|Referral & Pipeline Attribution Tracking|Renewals|Upcoming Renewal|Medium|2027-03-10|Tara Boyette
Harrin|Support Escalation|Risk|Support Escalation|Critical|2026-11-03|Sally McField
Harrin|Executive Sponsor Change|Risk|Sponsor Change|High|2026-12-31|Sally McField
Harrin|NPS Detractor Follow-Up|Risk|Survey Response|High|2026-12-25|Sally McField
Harrin|Community Alert: Unanswered Question (10+ Days)|Risk|Community Alert|High|2026-12-24|Manoj Eskala
Redmontis|Low Adoption: No Course Activity >60 Days|Risk|Low CE Adoption|High|2026-12-09|Sally McField
Redmontis|Support Escalation|Risk|Support Escalation|Critical|2026-12-03|Sally McField
Trenford|Account Not Multithreaded|Risk|Single-Threaded Account|High|2026-11-04|Sally McField
Trenford|Support Escalation|Risk|Support Escalation|Critical|2026-11-03|Sally McField
Morrison Oakmont Software|Account Dark Risk|Risk|Engagement Risk|High|2026-11-18|Grace Johnson
Badger Asset Management|Account Dark Risk|Risk|Engagement Risk|High|2026-11-02|Brian Turner
Belfast Glen Supply|Account Dark Risk|Risk|Engagement Risk|High|2026-10-28|Rebecca Goldstein
Ivory Digital|Account Dark Risk|Risk|Engagement Risk|High|2026-10-28|Aisha Kapoor
Prime Security Systems|Account Dark Risk|Risk|Engagement Risk|High|2026-10-28|Robert White
Murphy Otter Omnichannel|Account Dark Risk|Risk|Engagement Risk|High|2026-11-02|Brian Turner
Dominguez Riverside Devices|Account Dark Risk|Risk|Engagement Risk|High|2026-11-02|Robert White
Aerial Aspen Market|Account Dark Risk|Risk|Engagement Risk|High|2026-11-02|Brian Turner
Evergreen Commerce|Churn Risk Detected|Risk|AI Risk Signal|High|2026-11-03|Stephanie Brown
Chapman Cedarwood Genomics|Account Dark Risk|Risk|Engagement Risk|High|2026-10-28|Robert White
Le Cougar Nutrition|Account Dark Risk|Risk|Engagement Risk|High|2026-11-02|Brian Turner
Sharma Knoll Lending|Account Dark Risk|Risk|Engagement Risk|High|2026-11-02|Rebecca Goldstein
Pinewood Insurance|Account Dark Risk|Risk|Engagement Risk|High|2026-11-18|Zoe Davis
Osprey Ridge Systems|Account Dark Risk|Risk|Engagement Risk|High|2026-10-28|Rebecca Goldstein
Chung Rehab|Account Dark Risk|Risk|Engagement Risk|High|2026-11-18|Mark ONeill
Lara Diagnostics|Account Dark Risk|Risk|Engagement Risk|High|2026-11-18|Hannah Lee
Brookside Commerce|Account Dark Risk|Risk|Engagement Risk|High|2026-11-18|Zoe Davis
Gosling Ventures|Account Dark Risk|Risk|Engagement Risk|High|2026-11-18|Grace Johnson
Aero Harbor Medical|Account Dark Risk|Risk|Engagement Risk|High|2026-11-18|Hannah Lee
Valiant Arbor Networks|Account Dark Risk|Risk|Engagement Risk|High|2026-11-18|Mark ONeill
Rosales Technologies|Staircase Account Dark|Risk|Engagement Risk|High|2026-12-02|Hannah Lee
