Navarro Advisory|325000|2027-05-15|NA|Yellow|Carlos Ramirez|Healthcare
Abbett|250000|2027-03-14|NA|Yellow|Sally McField|Healthcare
Redmontis|245000|2027-04-17|NA|Green|Sally McField|Retail
Averin|240000|2026-12-21|NA|Yellow|Sally McField|Manufacturing
Bremott|235000|2027-03-26|EMEA|Yellow|Sally McField|Technology
Trenford|230000|2027-04-09|APAC|Green|Sally McField|Retail
Harrin|225000|2026-11-21|NA|Yellow|Sally McField|Healthcare
Red Lakeview Brands|200000|2027-05-17|NA|Green|Mark ONeill|Financial Services
Harbour Cloud|190000|2027-04-08|EMEA|Yellow|Maya Hernandez|Cybersecurity
Hall Oakridge Advisory|185000|2027-06-01|EMEA|Yellow|Maya Hernandez|
Lumen Security|180000|2026-09-20|NA|Yellow|Sally McField|Manufacturing
Garnet Capital|175000|2026-12-12|NA|Yellow|Maya Hernandez|
CloudNest Solutions|175000|2026-10-07|LATAM|Yellow|Sally McField|Manufacturing
Spruce Risk Labs|165000|2027-03-28|NA|Yellow|Sally McField|Cybersecurity
Tanaka Glen Networks|165000|2026-08-23|NA|Green|Ivan Petrov|Technology
Ortiz Credit|165000|2027-06-19|NA|Red|Ivan Petrov|Financial Services
Buffalo Lighthouse Genomics|160000|2027-04-11|EMEA|Green|Maya Hernandez|Retail
Beacon River Dataworks|155000|2027-01-31|APAC|Green|Ivan Petrov|
Vasquez Telehealth|150000|2026-05-28|NA|Yellow|Ivan Petrov|
Valdez Hawk Solutions|145000|2027-04-22|EMEA|Yellow|Sally McField|Retail
Ardent Shore Retail|135000|2027-01-05|NA|Yellow|Sally McField|Healthcare
Fitzgerald Mobility|135000|2026-09-13|APAC|Red|Nicole Schmidt|Technology
Oakwood Advisory|135000|2026-11-13|EMEA|Yellow|Maya Hernandez|Manufacturing
Koala Ridge Labs|120000|2026-04-12|NA|Red|Nicole Schmidt|
Glen Omnichannel|120000|2027-01-28|NA|Yellow|Ivan Petrov|Manufacturing
Riverstone Peak Automation|120000|2027-03-02|NA|Red|Ivan Petrov|Retail
Larson Networks|115000|2026-10-12|EMEA|Red|Nicole Schmidt|Healthcare
Sunset Analytics|110000|2026-03-31|EMEA|Yellow|Sally McField|Retail
Lopez Panther Devices|95000|2027-05-01|NA|Yellow|Mark ONeill|
